Year,Zip Code,Closings, Sale Amt Avg ,YoY Sale Amt Avg, Price/ SqFt Avg ,YoY Price/SqFt Avg,Bedrooms Avg,Bathrooms  Avg,Living SqFt Avg,Land SqFt Avg,Acres Avg
2008,98008,278," $556,360.03 ",-7.93%, $276.99 ,-5.00%,3.5,2.9,"2,082","32,726",0.8
2009,98008,278," $498,377.51 ",-10.42%, $237.70 ,-14.18%,3.6,2.9,"2,202","22,419",0.6
2010,98008,319," $510,438.29 ",2.42%, $224.78 ,-5.43%,3.7,3.0,"2,208","25,539",0.6
2011,98008,315," $465,952.77 ",-8.72%, $211.79 ,-5.78%,3.5,2.9,"2,098","34,825",0.8
2012,98008,386," $488,414.32 ",4.82%, $220.14 ,3.95%,3.6,3.0,"2,163","34,520",0.8
2013,98008,480," $542,521.62 ",11.08%, $252.37 ,14.64%,3.6,3.0,"2,166","39,049",1.0
2014,98008,377," $610,905.59 ",12.60%, $279.62 ,10.80%,3.6,3.0,"2,164","34,165",0.8
2015,98008,474," $659,640.39 ",7.98%, $302.40 ,8.15%,3.6,3.0,"2,158","38,264",0.9
2016,98008,472," $727,437.54 ",10.28%, $335.87 ,11.07%,3.6,3.0,"2,185","35,324",0.9
2017,98008,414," $819,740.38 ",12.69%, $391.58 ,16.59%,3.5,2.9,"2,107","49,290",1.2
2018,98008,371," $960,357.81 ",17.15%, $473.96 ,21.04%,3.5,2.9,"2,079","41,950",1.0
2019,98008,368," $950,848.28 ",-0.99%, $449.93 ,-5.07%,3.5,2.8,"2,103","35,869",0.9
2005,98010,131," $293,234.28 ",, $153.21 ,,2.8,2.1,"1,662","41,289",0.9
2006,98010,116," $363,067.35 ",23.81%, $205.12 ,33.89%,3.2,2.5,"2,039","54,125",1.2
2007,98010,89," $403,375.38 ",11.10%, $192.87 ,-5.97%,3.0,2.1,"1,742","22,111",0.5
2008,98010,37," $403,146.08 ",-0.06%, $208.05 ,7.88%,3.2,2.3,"1,902","47,001",1.1
2009,98010,53," $313,542.70 ",-22.23%, $146.68 ,-29.50%,3.3,2.4,"2,262","30,501",0.7
2010,98010,68," $311,947.99 ",-0.51%, $133.29 ,-9.13%,3.2,2.3,"1,897","38,560",0.9
2011,98010,80," $270,412.64 ",-13.31%, $131.18 ,-1.59%,3.2,2.4,"2,072","56,967",1.3
2012,98010,80," $261,635.70 ",-3.25%, $120.68 ,-8.00%,3.0,2.1,"1,817","40,134",0.9
2013,98010,97," $306,854.18 ",17.28%, $148.82 ,23.33%,3.1,2.3,"1,875","21,480",0.5
2014,98010,93," $347,437.77 ",13.23%, $185.69 ,24.77%,3.1,2.3,"1,856","29,292",0.7
2015,98010,103," $318,139.84 ",-8.43%, $163.95 ,-11.71%,3.4,2.8,"2,166","43,478",1.0
2016,98010,94," $406,187.90 ",27.68%, $200.86 ,22.51%,3.0,2.4,"1,903","44,469",1.0
2017,98010,97," $419,855.72 ",3.36%, $229.81 ,14.41%,2.9,2.3,"1,747","33,917",0.8
2018,98010,105," $550,235.30 ",31.05%, $254.28 ,10.64%,3.2,2.5,"2,090","40,189",0.9
2019,98010,90," $464,589.36 ",-15.57%, $222.18 ,-12.62%,2.9,2.2,"1,816","39,194",0.9
2005,98011,731," $314,405.98 ",, $183.90 ,,3.2,2.8,"1,986","117,893",2.7
2006,98011,545," $373,957.09 ",18.94%, $227.88 ,23.91%,3.1,2.4,"1,731","134,191",3.1
2007,98011,466," $389,008.64 ",4.02%, $243.60 ,6.90%,3.0,2.5,"1,785","153,343",3.5
2008,98011,275," $377,839.27 ",-2.87%, $231.39 ,-5.01%,3.1,2.5,"1,738","91,347",2.1
2009,98011,280," $342,652.25 ",-9.31%, $201.15 ,-13.07%,3.2,2.5,"1,804","106,355",2.4
2010,98011,316," $310,576.62 ",-9.36%, $177.67 ,-11.67%,2.9,2.4,"1,715","121,800",2.8
2011,98011,411," $299,006.39 ",-3.73%, $152.82 ,-13.99%,3.1,2.6,"1,791","127,956",2.9
2012,98011,433," $292,826.72 ",-2.07%, $157.20 ,2.87%,3.2,2.6,"1,801","132,021",3.0
2013,98011,553," $360,909.65 ",23.25%, $189.31 ,20.43%,3.2,2.6,"1,809","115,130",2.6
2014,98011,513," $363,576.75 ",0.74%, $205.04 ,8.31%,2.8,2.4,"1,651","120,078",2.8
2015,98011,585," $377,006.46 ",3.69%, $212.61 ,3.69%,2.7,2.2,"1,536","114,017",2.6
2016,98011,635," $474,449.02 ",25.85%, $267.38 ,25.76%,2.8,2.3,"1,600","131,365",3.0
2017,98011,534," $533,401.89 ",12.43%, $292.84 ,9.52%,2.7,2.3,"3,338","120,395",2.8
2018,98011,478," $589,158.93 ",10.45%, $355.58 ,21.43%,2.8,2.3,"2,072","102,258",2.3
2019,98011,456," $601,621.62 ",2.12%, $315.71 ,-11.21%,2.9,2.4,"1,693","93,798",2.2
2012,98012,1," $500,000.00 ",, $-   ,,.0,.0,,,0.0
2019,98012,2," $911,137.00 ",82.23%, $284.50 ,#DIV/0!,4.0,2.5,"3,210","6,320",0.0
2005,98014,204," $385,330.72 ",, $222.01 ,,3.1,2.5,"2,033","102,931",2.4
2006,98014,164," $411,021.43 ",6.67%, $246.98 ,11.25%,3.0,2.2,"2,020","114,102",2.3
2007,98014,121," $413,281.45 ",0.55%, $267.90 ,8.47%,3.0,2.3,"1,879","116,422",2.7
2008,98014,73," $579,282.11 ",40.17%, $677.90 ,153.04%,3.2,2.5,"2,012","154,408",3.5
2009,98014,92," $415,364.96 ",-28.30%, $195.49 ,-71.16%,3.3,2.7,"2,301","93,752",2.1
2010,98014,100," $523,662.24 ",26.07%, $664.64 ,239.99%,2.9,2.3,"2,069","94,194",2.2
2011,98014,112," $308,840.04 ",-41.02%, $150.97 ,-77.28%,2.7,1.9,"1,656","89,194",2.0
2012,98014,133," $357,104.63 ",15.63%, $169.89 ,12.53%,3.2,2.5,"2,223","110,782",2.4
2013,98014,164," $378,109.84 ",5.88%, $178.51 ,5.07%,3.1,2.6,"2,163","128,495",3.0
2014,98014,188," $476,884.45 ",26.12%, $182.02 ,1.96%,3.1,2.5,"2,234","117,816",2.5
2015,98014,170," $440,321.62 ",-7.67%, $200.55 ,10.18%,2.8,2.3,"2,156","98,072",2.2
2016,98014,172," $467,932.48 ",6.27%, $237.12 ,18.23%,3.3,2.3,"2,116","94,650",2.1
2017,98014,149," $612,021.32 ",30.79%, $272.77 ,15.04%,3.0,2.4,"1,988","116,152",2.7
2018,98014,154," $573,754.04 ",-6.25%, $310.64 ,13.88%,3.4,2.6,"2,109","119,878",2.6
2019,98014,151," $562,620.88 ",-1.94%, $327.87 ,5.55%,3.2,2.4,"2,193","131,216",2.9
2005,98019,357," $357,944.59 ",, $164.02 ,,3.1,2.5,"2,070","95,465",2.1
2006,98019,318," $420,347.97 ",17.43%, $222.18 ,35.46%,3.1,2.6,"2,002","92,002",2.1
2007,98019,219," $472,223.90 ",12.34%, $222.12 ,-0.03%,3.2,2.7,"2,190","83,640",1.9
2008,98019,162," $447,680.51 ",-5.20%, $222.72 ,0.27%,3.2,2.7,"2,182","104,575",2.3
2009,98019,133," $359,780.09 ",-19.63%, $188.15 ,-15.52%,3.1,2.5,"2,013","76,000",1.7
2010,98019,164," $371,125.38 ",3.15%, $170.16 ,-9.56%,3.3,2.7,"2,265","82,306",1.8
2011,98019,186," $306,288.45 ",-17.47%, $132.75 ,-21.98%,3.1,2.6,"2,245","91,290",2.1
2012,98019,208," $348,941.54 ",13.93%, $159.00 ,19.77%,3.2,2.6,"2,194","107,748",2.5
2013,98019,240," $360,417.92 ",3.29%, $156.18 ,-1.77%,3.3,2.8,"2,313","83,661",1.9
2014,98019,236," $368,236.45 ",2.17%, $168.40 ,7.82%,3.0,2.5,"2,006","88,701",2.0
2015,98019,322," $427,082.77 ",15.98%, $200.47 ,19.04%,3.4,2.8,"2,304","84,718",1.9
2016,98019,315," $456,297.63 ",6.84%, $242.95 ,21.19%,3.2,2.8,"2,155","105,050",2.4
2017,98019,269," $529,125.48 ",15.96%, $268.69 ,10.59%,3.3,2.7,"2,155","92,041",2.1
2018,98019,271," $634,256.77 ",19.87%, $331.97 ,23.55%,3.1,2.6,"2,167","103,306",2.4
2019,98019,233," $570,269.91 ",-10.09%, $297.40 ,-10.41%,3.3,3.0,"2,406","99,512",2.3
2005,98020,7," $430,950.14 ",, $180.29 ,,3.6,3.4,"2,369","10,063",0.3
2006,98020,5," $448,540.00 ",4.08%, $231.20 ,28.24%,4.0,2.4,"2,040","9,151",0.2
2007,98020,3," $534,983.33 ",19.27%, $285.67 ,23.56%,3.3,2.7,"2,000","11,042",0.3
2008,98020,1," $425,000.00 ",-20.56%, $186.00 ,-34.89%,4.0,3.0,"2,280","9,682",0.0
2009,98020,2," $442,475.00 ",4.11%, $190.00 ,2.15%,4.0,3.0,"2,325","9,704",0.0
2010,98020,4," $542,000.00 ",22.49%, $190.00 ,0.00%,4.0,3.0,"2,553","8,386",0.3
2011,98020,6," $332,375.00 ",-38.68%, $155.33 ,-18.25%,3.8,2.3,"1,935","10,425",0.3
2012,98020,10," $341,500.00 ",2.75%, $130.20 ,-16.18%,3.6,2.6,"2,266","12,048",0.2
